barcode,total_quantity
4019359881099,0
4019359865815,0
4019359880153,0
4019359880979,0
4019359137660,0
4019359829107,0
4019359829169,0
4019359833920,0
4019359330306,0
4779030060198,0
4779030060358,0
4779030060174,0
4019359330269,0
4019359330207,0
4019359829176,0
8427614980207,0
8427614506193,0
5710409104869,0
5710409200707,0
5710409200851,0
5710409200868,0
6970089159590,0
6970089159439,0
6970089159873,0
817742024115,0
817742024139,0
817742023989,0
817742024009,0
5055166353137,0
5055166343534,0
5055166352178,0
4019359842069,0
5055166352161,0
4260243451410,0
5710409105484,0
5710409105262,0
8427614215415,0
8427614215446,0
5060272132811,0
5060272132903,0
5060272132965,0
5060272132996,0
8427614060596,0
5200384500775,0
5200384500782,0
4041077005235,0
5710409200950,0
5710409201063,0
5710409201032,0
5710409201049,0
5055166346160,0
5055166356855,0
4041077010000,0
4041077010048,0
8427614606572,0
8427614652883,0
5425020500241,0
5425020500135,0
5425020500302,0
5425020500364,0
5425020500401,0
5425020500463,0
5425020500470,0
5425020500494,0
5060639144723,0
4019359827974,0
5710409201216,0
5710409106009,0
5710409106023,0
5055166357388,0
4260243451892,0
4260243451496,0
5055166356503,0
5055166356565,0
5055166353243,0
5055166357838,0
5055166357777,0
5055166357753,0
5200384502847,0
5200384530574,0
5200384501475,0
3512610454427,0
3512610053149,0
3512610353119,0
3512610353126,0
3512610000327,0
3512610244004,0
5060639145508,0
5060639145492,0
5060639145713,0
5060639145515,0
5060639145522,0
5060639145720,0
5060639145607,0
5060639145584,0
5060639145614,0
5060639145577,0
5060639145560,0
5060639145157,0
8427614602833,0
8427614606800,0
8427614606817,0
8427614653255,0
8427614404499,0
8427614215491,0
8427614406219,0
8427614406202,0
5710409107129,0
5710409107594,0
4260243450147,0
4019359860230,0
3550839928732,0
3550839934504,0
3550839934528,0
3550839934559,0
3550833300428,0
3550833901076,0
3550839427952,0
3550833300855,0
5060639146390,0
5060639146420,0
5060639144495,0
5060639146383,0
5060639146376,0
5060639146406,0
5060639146352,0
5055166358767,0
8427614607500,0
5060639146000,0
5060639145997,0
5060639145980,0
5055166359627,0
5710409105408,0
5710409108065,0
5060204033230,0
8427614408237,0
3512610003144,0
5060639146659,0
5060639146666,0
5060639146611,0
5060639147021,0
5060639146635,0
5060639146642,0
5060639146598,0
5060639146581,0
5060639146697,0
5060639146628,0
5055166358941,0
5055166360296,0
5055166358903,0
5055166358835,0
3550833301142,0
8427614653620,0
8427614215545,0
8427614607975,0
5060639146680,0
5060639146673,0
5060639146864,0
5060639146871,0
5060639146895,0
5060639146901,0
5060639146925,0
5060639146932,0
5060639146949,0
5060639147038,0
5060639146963,0
5060639146970,0
5060639146994,0
5060639147007,0
5060639147014,0
5710409102575,0
5060272131883,0
5710409103060,0
5060272131852,0
5710409103350,0
5060272131395,0
5060272130268,0
5060272130589,0
5060272130145,0
5710409103145,0
5710409102919,0
5710409102896,0
8719831530021,0
4260350560630,0
4260350560609,0
4019359810365,0
4019359841482,0
4019359880191,0
4019359330221,0
4019359330238,0
5710409104180,0
5710409104821,0
5710409104845,0
5060639142378,0
817742023941,0
5055166347921,0
5055166343510,0
5055166355582,0
5055166355575,0
5055166353090,0
8427614602772,0
5200384500768,0
5055166353281,0
6970089159101,0
5060272133412,0
5060272133139,0
5055166357197,0
5055166357555,0
5055166357616,0
5055166355445,0
5055166355452,0
4820148900095,0
3512610454359,0
3512610010005,0
3550839227958,0
3550833300732,0
5200384504148,0
8427614408213,0
3550833400784,0
3550833400807,0
8427614408503,0
5060639146987,0
191856073031,0
191856073079,0
191856074168,0
191856075158,0
191856079057,0
191856079118,0
191856079163,0
191856079316,0
191856079811,0
5200384504810,0
5200384504865,0
5200384504742,0
5200384504773,0
5200384504728,0
5200384504681,0
5200384504599,0
5710409109130,0
5055166360753,0
5055166360760,0
5200384504056,0
